proposed_rule_id,trigger_type,trigger_values,source_sheet,source_row,izhodisce,Iscete,SteMislili,Npr,Vslo,Link,review_note,owner_flag,status
paronym_anodo,lemma,anodo | anod,Abecedno,12,anod(o),anodo,anoda,,,,,,
paronym_biti_sredi_med_ljudmi,lemma,biti sredi med ljudmi,Abecedno,18,biti sredi med ljudmi,stare in mezzo alla gente,biti med ljudmi,Rad sem med ljudmi in uživam v družbi.,/,,,,
paronym_brez_drugega,lemma,brez drugega,Abecedno,19,brez drugega,senz'altro,"seveda, vsekakor, v vsakem primeru, zagotovo",To bom zagotovo končal do jutri.,"Besedna zveza brez drugega (pogovorno tudi brez druzga) je kalk italijanske besedne zveze 'senz'altro'. Govorcem in govorkam, ki ne znajo italijansko, pomen te besedne zveze ni jasen.",https://viri.cjvt.si/sopomenke/slv/headword/46132,,,
paronym_zadnja_pisarna,lemma,zadnja pisarna,Abecedno,21,zadnja pisarna,"back office, retrosportello",(službe za) zaledno delo,,,,,ZKB,
paronym_čelna_pisarna,lemma,čelna pisarna,Abecedno,22,čelna pisarna,"front office, sportello",(službe za) delo s strankami,,,,,ZKB,
paronym_današnjica,lemma,današnjica,Abecedno,23,današnjica,?,dandanašnji/danes,,,,,,
paronym_dati_staviti_se_na_kolena,lemma,dati se na kolena | staviti se na kolena,Abecedno,24,dati/staviti se na kolena,,,,,,,,
paronym_delo_na_zahtevo,lemma,delo na zahtevo,Abecedno,29,delo na zahtevo,lavoro a chiamata,"občasno, priložnostno, sezonsko delo",Veliko študentov se odloči za sezonsko / priložnostno / občasno delo med poletnimi počitnicami.,"Besedna zveza delo na zahtevo v slovenščini ni termin. Govorcem in govorkam, ki ne znajo italijansko, pomen te besedne zveze ni jasen.",,"moram preverit, kaj pravi slo zakonodaja",,
paronym_dobro_delo,lemma,dobro delo,Abecedno,31,dobro delo,buon lavoro!,srečno! uspešno delo (vam želim)!,Morate napisati seminarsko nalogo? Srečno!,"Samostalniška besedna zveza dobro delo se ne uporablja kot vzklik, voščilo; označuje zgolj vrsto ali kakovost dela.",,"preveriti, če Loris to že pozna, sicer gre noter",,
paronym_dobrobit,lemma,dobrobit,Abecedno,32,dobrobit,,dobro,,,,,,
paronym_doktoriranje,lemma,doktoriranje,Abecedno,34,doktoriranje,,doktorat,,,,"preveriti, če Loris to že pozna, sicer gre noter",,
paronym_določen,lemma,določen,Abecedno,36,določen,un certo,"neki, neka, neko; nekateri, nekatera, nekatero; kakšen, kakšna, kakšno",Nekateri problemi so nerešljivi. Pojavile so se neke težave.,"Pridevnik določen ne izraža nedoločnosti, poljubnosti, temveč določnost, specifičnost; sopomenke: fiksen, opredeljen, definiran, predpisan.",če se da: link na https://viri.cjvt.si/sopomenke/slv/headword/16474,,,
paronym_en_tubo,lemma,en tubo,Abecedno,38,en tubo,un tubo,"nič, ničesar",Non vedo un tubo. -> Nič ne vidim.,"Besedna zveza en tubo je delni prevod italijanske pogovorne besedne zveze 'un tubo'. Besedna zveza en tubo se pogovorno uporablja izključno v lokalnem okolju; govorcem in govorkam, ki ne znajo italijansko, pomen te besedne zveze ni jasen.",,,,
paronym_gozdna_policija,lemma,gozdna policija,Abecedno,42,gozdna policija,corpo forestale / guardia forestale,gozdarska policija,,Leksem gozdna policija v standardni slovenščini ne obstaja.,,,x,
paronym_imeti_na_grbi,lemma,imeti na grbi,Abecedno,45,imeti na grbi,avere sulla groppa,imeti na plečih,Na svojih plečih ima veliko odgovornosti.,"Besedna zveza imeti na grbi se v slo pojavlja redkeje, in sicer zlasti v kontekstu težavnih, neprijetnih stvari, ne zgolj kot odgovornost in naloga.",,,,
paronym_intestirani_papir,lemma,intestirani papir,Abecedno,46,intestirani papir,carta intestata,(uradni) papir podjetja/ustanove; papir z logotipom,Dopis pošljite na uradnem papirju.,/,,"preveriti, če Loris to že pozna, sicer gre noter",,
paronym_javna_dela,lemma,javna dela,Abecedno,47,javna dela,lavori pubblici,"javne ureditve (npr. urejanje zelenic)
javne infrastrukturne ureditve (npr. kanalizacija)
javna gradbena dela
javne gradnje (npr. gradnja objektov, cest)
javne investicije (splošno)",Občina je v proračunu predvidela višjo postavko za javne investicije.,"Slo javna dela = programi, namenjeni dolgotrajno brezposelnim osebam ali drugim ranljivim skupinam (ita 'lavori socialmente utili')",,"že obdelano, treba samo dopolnit",x,
paronym_kratek_spomin,lemma,kratek spomin,Abecedno,52,kratek spomin,,hiter pregled,"Hiter pregled osnutka pokaže, da se uprava s pripravo ni prav trudila, ampak je proračunski porabi prejšnjega leta le dodala indekse, je povedal.","kratek spomin = pretvarjanje, da se nekaj iz preteklosti ni zgodilo, poskus pozabe česa neprijetnega",,,,
